time,lat,lon,Solar_Radiation_Flux,Cloud_Cover_Mean_24h,elevation
2024-06-01,43.0,19.9,19.554416,0.61066324,1168
2024-12-14,19.1,-97.5,20.760012,0.318637,2645
2024-12-31,12.3,98.5,19.75106,0.7830042,6
2024-12-03,-19.6,137.6,25.45584,0.532647,259
2024-07-12,32.9,9.8,29.09877,0.007590946,283
2024-11-05,57.7,103.9,4.007505,0.8700065,455
2024-06-11,37.1,46.9,24.343894,0.48803777,2141
2024-07-26,6.2,47.5,16.704467,0.6593396,197
2024-06-17,30.5,25.7,29.272882,0.0076966425,211
2024-06-09,-17.2,30.5,16.867958,0.25286597,1244
2024-03-08,60.1,106.2,7.797505,0.587418,435
2024-10-15,61.4,139.8,3.51459,0.8951031,1165
2024-10-03,18.0,-101.3,14.313001,0.86270916,1610
2024-10-30,77.6,-50.8,0.0,0.9772769,2473
2024-05-14,37.4,127.9,27.500172,0.013994141,180
2024-07-13,29.6,20.5,28.799734,0.00418866,32
2024-05-07,53.2,-77.8,9.997794,0.8286728,160
2024-02-02,37.5,36.3,14.151198,0.013903835,974
2024-06-24,50.0,22.8,15.96205,0.6915411,188
2024-01-22,68.6,-29.7,0.1150856875,0.6891939,1171
2024-08-25,7.4,48.8,20.433736,0.8998736,324
2024-06-06,13.5,23.8,24.579696,0.31570786,1021
2024-02-07,-29.7,145.5,28.662872,0.16836631,128
2024-08-17,26.6,3.8,22.339286,0.3121487,344
2024-12-30,21.2,26.8,17.196768,0.52501905,529
2024-02-20,45.5,60.8,9.956811,0.7774628,41
2024-09-20,35.1,84.6,20.536862,0.33229426,4974
2024-10-09,-29.1,142.3,27.453094,0.016137466,89
2024-01-27,-19.5,28.4,30.586818,0.5290102,1129
2024-08-13,32.3,-105.3,25.191852,0.33007038,1419
2024-10-03,2.0,102.7,17.631048,0.8565759,30
2024-10-12,-30.4,116.6,26.46707,0.09731915,314
2024-04-06,-19.0,139.5,22.495884,0.73064953,82
2024-10-10,50.1,58.9,7.411959,0.8169855,281
2024-11-12,31.5,88.2,15.948897,0.27385768,5121
2024-10-30,32.9,-83.9,10.221533,0.24128722,172
2024-05-26,63.7,26.9,26.24086,0.60938954,132
2024-01-04,58.9,141.0,1.468488125,0.006199863,380
2024-02-04,43.4,-113.6,9.117184,0.9102563,1795
2024-07-10,51.6,-67.7,24.616898,0.37646863,862
2024-02-18,21.4,92.9,21.475618,0.0,374
2024-01-17,-1.6,35.2,17.373434,0.87114614,1597
2024-06-20,81.5,-76.7,25.111242,0.581933,219
2024-08-07,67.6,51.2,21.583172,0.047552228,66
2024-06-06,-16.0,127.8,19.608664,0.019915408,205
2024-02-15,29.2,22.9,16.893128,0.24607964,97
2024-01-06,-12.1,-73.7,16.16719,0.9080593,1764
2024-04-08,-24.6,132.2,22.448046,0.63729775,594
2024-08-20,52.1,83.9,19.337156,0.41586334,239
2024-02-06,-0.2,18.5,21.614692,0.52530515,321
2024-10-06,64.8,80.1,2.79748975,0.97685254,28
2024-12-14,3.1,-67.0,16.712875,0.7732318,109
2024-10-28,-1.9,22.4,18.600264,0.6586941,421
2024-06-29,15.2,46.6,22.201472,0.7128413,861
2024-04-04,58.8,124.1,18.437018,0.27020407,614
2024-04-08,34.4,-78.2,24.183284,0.07069388,7
2024-07-06,25.1,15.6,27.810968,0.016247751,757
2024-04-25,-6.8,-41.8,20.124302,0.64966774,442
2024-07-09,75.2,-90.1,20.949492,0.7402656,337
2024-09-09,-22.5,-69.5,25.534382,0.0151786525,1324
2024-06-09,11.1,40.4,22.827034,0.15031163,591
2024-09-12,52.4,79.5,16.383379,0.25743937,132
2024-11-18,-22.9,123.6,23.223844,0.39214355,323
2024-05-07,66.6,60.7,24.05882,0.8314363,58
2024-01-18,14.6,105.7,20.92665,0.41256478,113
2024-10-07,-24.4,-55.3,25.125874,0.19905512,230
2024-08-10,38.6,-80.8,22.096972,0.30665624,397
2024-02-23,65.6,-122.4,4.001645,0.7978697,159
2024-02-27,14.9,26.5,24.709534,0.22807091,842
2024-11-18,-32.8,116.6,27.915804,0.51953125,279
2024-12-25,57.8,132.9,1.557604625,0.8741309,693
2024-06-22,17.6,22.8,27.160972,0.066446625,983
2024-10-06,65.2,98.5,6.2066945,0.19981703,481
2024-04-23,10.2,16.7,23.693596,0.44208315,336
2024-10-14,65.1,-87.7,2.2919445,0.9659592,128
2024-12-07,63.4,-148.1,0.2711548125,0.7164058,1119
2024-05-30,56.9,43.3,20.355488,0.5235074,96
2024-05-06,-3.0,113.6,16.534466,0.7361469,18
2024-06-03,63.6,-66.0,12.117661,0.961717,644
2024-09-29,-47.4,-74.2,16.290888,0.48916867,412
2024-04-13,-13.6,133.8,18.446722,0.6498535,271
2024-10-25,35.7,109.7,13.464235,0.42214122,1261
2024-09-02,18.1,-8.9,25.201718,0.4623824,255
2024-06-24,2.5,-69.4,16.610602,0.6849556,217
2024-02-08,15.8,76.5,22.023138,0.08052476,450
2024-06-18,66.7,103.9,20.514326,0.4370306,493
2024-09-03,51.4,142.9,19.647404,0.16421935,85
2024-01-26,37.8,84.5,12.357985,0.5050979,1313
2024-12-20,40.4,140.4,4.511602,0.8861516,586
2024-11-01,51.8,97.4,4.7731775,0.89659035,1596
2024-01-13,34.6,52.5,12.119312,0.2574395,935
2024-11-11,31.9,115.3,11.731655,0.22048193,94
2024-11-08,46.8,7.8,8.366202,0.27035663,1163
2024-02-05,-13.8,-60.3,17.513738,0.82999384,219
2024-06-21,-5.6,17.1,20.845776,0.31000668,627
2024-01-20,40.5,31.6,5.0915315,0.95141596,1398
2024-11-16,46.0,96.3,8.680603,0.037276946,2231
2024-09-20,50.7,-122.5,16.144659,0.4268901,1521
2024-05-21,-24.1,16.3,17.6617,0.015402362,1593
2024-05-22,11.0,36.0,22.073064,0.46815997,946
2024-04-01,66.1,-49.7,15.356239,0.5919241,1003
2024-12-19,64.4,-75.3,0.0919158828125,0.9100458,4
2024-11-17,25.3,-5.2,9.99654,0.9410091,278
2024-10-14,-11.8,-42.8,24.519758,0.29931054,637
2024-08-02,8.0,35.8,11.487558,0.8334342,2035
2024-12-07,61.7,-142.8,0.0,0.75591356,2645
2024-02-20,19.6,84.8,18.740606,0.29278427,50
2024-06-01,-28.6,150.6,3.448839,0.57296145,232
2024-07-04,-28.3,-68.1,16.768108,0.059044957,2878
2024-03-03,21.3,18.3,25.085128,0.076118805,1837
2024-07-08,0.5,36.7,18.20638,0.63603514,1860
2024-05-04,53.9,74.2,19.143368,0.46362513,100
2024-05-29,-26.4,117.7,14.777441,0.23695308,501
2024-11-09,13.2,103.5,18.938096,0.58266014,7
2024-02-27,40.0,-81.8,6.849502,0.8418281,290
2024-12-07,0.7,13.5,17.878674,0.62562615,524
2024-10-31,-4.6,14.9,15.941625,0.8185279,389
2024-06-28,-24.5,135.7,14.972849,0.00230923,229
2024-06-18,49.6,-116.5,20.844074,0.85059094,1998
2024-11-21,-3.7,-63.8,14.923146,0.9186011,37
2024-09-27,60.7,-71.0,7.5993395,0.70214045,361
2024-02-23,2.4,-54.4,17.515904,0.62193185,199
2024-04-10,-30.6,-63.1,9.636098,0.92226124,69
2024-09-20,8.9,-5.1,11.389084,0.73644686,314
2024-02-22,34.8,71.5,18.224278,0.10954189,958
2024-02-29,51.5,9.6,11.316763,0.2837344,266
2024-04-17,-4.7,-56.2,18.241244,0.67860556,131
2024-01-05,-34.9,-70.9,27.869532,0.6208443,663
2024-04-12,11.0,47.5,23.645858,0.21290115,274
2024-07-14,62.5,-100.1,10.318381,0.84796983,273
2024-09-18,34.0,-103.1,22.17983,0.035909053,1218
2024-12-30,57.4,128.8,1.950321875,0.44721618,790
2024-12-15,57.5,119.5,1.36525275,0.8987251,1029
2024-02-16,52.2,27.1,7.232702,0.74618137,129
2024-12-20,31.3,-90.9,13.111661,0.026817903,99
2024-11-06,26.0,17.9,17.606654,0.046770737,394
2024-11-03,41.5,21.8,8.308595,0.6764644,622
2024-05-23,62.3,-145.5,13.585,0.7878322,527
2024-09-25,37.3,66.4,19.568112,0.012366482,273
2024-05-03,10.4,-10.9,23.531774,0.35183233,459
2024-04-15,79.1,-40.3,14.728577,0.44058928,2321
2024-06-06,65.4,74.2,18.974712,0.92753685,67
2024-05-26,24.1,26.9,28.991458,0.00863848,717
2024-05-24,-20.1,-59.0,8.918948,0.83042914,101
2024-04-29,66.1,-137.3,19.428498,0.51111275,560
2024-11-14,30.7,84.1,18.378598,0.00440694,5524
2024-10-01,49.0,104.0,14.6766,0.33192885,1379
2024-04-01,39.2,71.0,24.097258,0.58471143,2521
2024-02-27,-19.3,130.5,25.057822,0.85921764,336
2024-12-11,-4.4,-38.2,19.852544,0.33845937,61
2024-08-16,55.3,-87.0,10.644315,0.81217855,102
2024-04-26,41.7,67.8,20.48045,0.49758056,233
2024-11-13,39.4,101.1,11.377385,0.33571148,1577
2024-10-05,59.4,162.7,9.989495,0.229711,292
2024-05-06,20.8,19.9,27.926916,0.10596788,725
2024-05-08,-50.2,-71.2,6.7357435,0.87996095,389
2024-02-27,62.1,105.8,7.378217,0.34172055,399
2024-05-01,68.2,60.7,16.442019,0.91454893,87
2024-01-01,14.6,16.8,20.878808,0.18721154,287
2024-08-26,2.1,98.7,12.137818,0.97713035,763
2024-10-16,61.3,-137.5,4.618682,0.7995919,1296
2024-04-05,-20.6,127.3,23.036652,0.675912,318
2024-05-05,43.5,-94.9,27.89289,0.11520791,420
2024-04-27,48.9,33.0,18.282048,0.4536733,142
2024-02-17,-22.1,117.3,27.692042,0.13774957,576
2024-03-29,29.1,71.8,22.203092,0.4523877,118
2024-08-24,-21.6,31.5,20.340846,0.10830692,498
2024-09-28,14.3,-14.4,17.758012,0.8902711,51
2024-07-07,46.8,23.7,25.661312,0.23714724,381
2024-07-10,-20.8,46.0,18.117714,0.004001029,789
2024-03-09,32.0,22.4,21.317458,0.07053507,166
2024-10-04,70.3,24.2,2.352354,0.9132853,341
2024-12-14,35.3,43.8,11.060593,0.026386973,191
2024-09-03,10.5,-9.2,17.62353,0.64387447,376
2024-03-16,-4.1,-40.1,15.073914,0.78812367,201
2024-06-02,56.0,85.2,26.424078,0.13687098,164
2024-05-23,30.7,-99.0,17.692776,0.3638796,389
2024-03-26,30.5,-93.4,23.407732,0.16265357,37
2024-07-03,26.2,105.7,9.531091,0.8783626,1280
2024-10-11,62.9,144.7,5.0709165,0.8220586,1198
2024-08-07,9.2,-79.0,13.495552,0.94568837,72
2024-03-09,57.8,32.7,5.4565645,0.7753302,166
2024-02-16,63.7,46.2,2.953705,0.92107105,195
2024-04-03,57.5,162.6,7.8805985,0.97637683,173
2024-08-25,2.5,-76.5,19.520694,0.86003643,2415
2024-07-22,37.1,60.5,27.21615,0.0,215
2024-08-05,43.1,125.5,7.372589,0.94813794,399
2024-12-06,11.2,104.8,16.468334,0.8016653,10
2024-02-08,-28.6,-64.5,25.371842,0.87058145,149
2024-04-09,0.7,120.8,16.142114,0.9146115,1271
2024-10-15,30.9,22.4,17.659808,0.287716,121
