points_x,Solar_Radiation_Flux,crs_x,lat,lon,time,points_y,Cloud_Cover_Mean_24h,crs_y,elevation
131,1522675.8,1,49.40000000000231,29.299999999988103,2024-12-24,131,0.96461546,1,258
132,20317616.0,1,34.20000000000317,92.2999999999845,2024-10-09,132,0.30329397,1,4684
133,10441863.0,1,-33.89999999999296,140.59999999998178,2024-07-25,133,0.5366598,1,56
134,13974262.0,1,33.600000000003206,-103.90000000000433,2024-01-15,134,0.3136286,1,1231
135,20509906.0,1,-21.599999999993656,-62.00000000000671,2024-12-11,135,0.90118134,1,248
136,29636022.0,1,-24.999999999993463,117.99999999998306,2024-02-11,136,0.022895394,1,457
137,27165978.0,1,35.900000000003075,8.799999999989268,2024-06-27,137,0.13420005,1,664
138,5363680.0,1,66.80000000000132,-142.60000000000213,2024-03-03,138,0.87079096,1,474
139,24054036.0,1,-12.299999999994185,-41.20000000000789,2024-12-17,139,0.6051061,1,563
140,6313540.5,1,63.700000000001495,43.79999999998728,2024-08-18,140,0.95974505,1,142
141,21537190.0,1,22.000000000003865,21.299999999988557,2024-08-28,141,0.5575495,1,534
142,59490.21,1,78.20000000000067,-26.500000000008725,2024-02-21,142,0.7383462,1,1152
143,26846424.0,1,25.10000000000369,7.099999999989365,2024-04-05,143,0.07042145,1,1123
144,19267998.0,1,-24.19999999999351,22.699999999988478,2024-08-09,144,0.0097040245,1,1085
145,23395258.0,1,16.80000000000416,-97.80000000000467,2024-08-18,145,0.6810131,1,892
146,4938644.5,1,-55.29999999999174,-69.00000000000631,2024-08-24,146,0.95527065,1,140
147,21197002.0,1,-7.599999999994452,24.0999999999884,2024-05-22,147,0.33227512,1,892
148,26532696.0,1,17.70000000000411,1.3999999999896886,2024-06-19,148,0.13663322,1,403
149,7621842.5,1,34.00000000000318,71.09999999998573,2024-01-29,149,0.57690114,1,1363
150,13193384.0,1,36.600000000003035,108.99999999998357,2024-02-05,150,0.644805,1,1343
151,1534274.9,1,57.700000000001836,68.19999999998589,2024-01-13,151,0.9141361,1,56
152,27129216.0,1,67.2000000000013,150.7999999999812,2024-06-08,152,0.32875383,1,50
153,10404719.0,1,39.400000000002876,-99.70000000000456,2024-11-22,153,0.35116345,1,659
154,15518505.0,1,15.200000000004252,43.19999999998731,2024-07-05,154,0.6540809,1,139
155,10272771.0,1,57.80000000000183,161.6999999999806,2024-08-30,155,0.91284317,1,39
156,25196290.0,1,20.00000000000398,-5.400000000009925,2024-03-26,156,0.6506737,1,300
157,14605555.0,1,21.600000000003888,94.59999999998439,2024-10-10,157,0.7218155,1,267
158,16510318.0,1,-5.999999999994543,-79.30000000000572,2024-03-06,158,0.877301,1,1812
159,14245426.0,1,-16.899999999993923,-63.300000000006634,2024-06-18,159,0.26855683,1,235
160,1375393.8,1,68.40000000000123,118.39999999998304,2024-02-14,160,0.8681148,1,329
161,18265026.0,1,-0.8999999999948329,-54.10000000000716,2024-03-02,161,0.8990829,1,467
162,17235572.0,1,51.60000000000218,34.199999999987824,2024-05-13,162,0.7022208,1,183
163,9354883.0,1,54.30000000000203,-96.80000000000473,2024-10-10,163,0.6370176,1,228
164,8206643.0,1,48.60000000000235,79.09999999998524,2024-01-28,164,0.12568115,1,911
165,14143046.0,1,29.400000000003445,55.19999999998663,2024-04-17,165,0.66516584,1,1917
166,20315816.0,1,9.300000000004587,50.4999999999869,2024-02-13,166,0.63457763,1,221
167,15836371.0,1,25.900000000003644,19.599999999988654,2024-12-05,167,0.13162388,1,302
168,7936706.5,1,49.800000000002285,48.39999999998702,2024-10-12,168,0.38042057,1,17
169,13878666.0,1,24.40000000000373,110.79999999998347,2024-11-26,169,0.5926019,1,540
170,26539622.0,1,30.400000000003388,73.19999999998561,2024-05-07,170,0.13521731,1,160
171,15917230.0,1,-1.7999999999947818,103.29999999998392,2024-12-13,171,0.9678061,1,56
172,25526362.0,1,31.80000000000331,52.79999999998677,2024-08-18,172,0.07300607,1,1521
173,13147230.0,1,36.70000000000303,112.29999999998336,2024-07-08,173,0.8215651,1,1248
174,13908395.0,1,20.800000000003934,93.49999999998442,2024-08-12,174,0.99000597,1,589
175,16965472.0,1,7.600000000004684,21.79999999998853,2024-10-09,175,0.68571407,1,669
176,21538774.0,1,-10.09999999999431,38.89999999998756,2024-04-30,176,0.52045554,1,371
177,12101949.0,1,-25.999999999993406,-59.30000000000686,2024-04-25,177,0.63591295,1,89
178,7901791.5,1,74.90000000000086,-21.100000000009032,2024-08-20,178,0.9623967,1,751
179,19840448.0,1,36.00000000000307,-95.40000000000481,2024-09-15,179,0.33457515,1,185
180,778604.5,1,58.80000000000177,54.69999999998666,2024-12-24,180,0.9423616,1,191
181,15106625.0,1,72.300000000001,95.29999999998438,2024-07-16,181,0.81371677,1,28
182,26209142.0,1,76.90000000000074,-61.700000000006725,2024-05-16,182,0.8926039,1,1729
183,28095074.0,1,-19.999999999993747,-63.60000000000662,2024-11-13,183,0.8540267,1,1086
184,19982102.0,1,-13.7999999999941,25.699999999988307,2024-06-13,184,0.019769488,1,1165
185,12974618.0,1,-1.4999999999947988,11.799999999989097,2024-08-12,185,0.9403842,1,635
186,13833865.0,1,30.90000000000336,27.499999999988205,2024-11-02,186,0.2751735,1,173
187,16665288.0,1,58.400000000001796,42.999999999987324,2024-08-21,187,0.45212296,1,175
188,23624002.0,1,56.00000000000193,42.69999999998734,2024-06-20,188,0.792572,1,93
189,27789556.0,1,16.500000000004178,22.799999999988472,2024-05-31,189,0.13554332,1,1070
190,7322670.5,1,35.70000000000309,-79.8000000000057,2024-11-10,190,0.92306066,1,229
191,9643603.0,1,18.700000000004053,95.89999999998429,2024-06-08,191,0.9415274,1,405
192,14732852.0,1,62.90000000000154,45.29999999998719,2024-04-05,192,0.5751122,1,154
193,15916889.0,1,55.800000000001944,90.19999999998464,2024-08-20,193,0.5138232,1,282
194,28769594.0,1,27.40000000000356,4.499999999989512,2024-06-28,194,0.019092642,1,478
195,20046756.0,1,-9.599999999994338,-47.600000000007526,2024-04-22,195,0.29147193,1,266
196,8270594.5,1,38.000000000002956,45.799999999987165,2024-11-13,196,0.48886433,1,1282
197,16123825.0,1,-6.39999999999452,107.19999999998367,2024-02-21,197,0.9091439,1,49
198,22505084.0,1,27.500000000003553,43.29999999998731,2024-09-24,198,0.015043384,1,691
199,23571620.0,1,-28.39999999999327,-61.40000000000674,2024-10-21,199,0.16114233,1,72
200,21581352.0,1,-6.199999999994532,145.29999999998154,2024-04-22,200,0.39612454,1,1832
201,17330650.0,1,-24.69999999999348,-56.00000000000705,2024-04-10,201,0.75553674,1,222
202,25117318.0,1,38.200000000002944,-115.20000000000368,2024-04-22,202,0.4707616,1,1653
203,25298978.0,1,25.200000000003683,31.599999999987972,2024-03-21,203,0.12067861,1,443
204,20601322.0,1,73.30000000000095,96.89999999998429,2024-07-05,204,0.61971563,1,32
205,15959363.0,1,65.80000000000138,-173.2000000000004,2024-04-22,205,0.93480253,1,72
206,15510618.0,1,25.200000000003683,-4.500000000009976,2024-01-02,206,0.054588426,1,270
207,11718683.0,1,54.60000000000201,132.59999999998223,2024-05-09,207,0.7099285,1,496
208,15384322.0,1,63.500000000001506,96.1999999999843,2024-08-07,208,0.75187206,1,380
209,18264828.0,1,33.90000000000319,49.499999999986954,2024-02-23,209,0.7729429,1,2238
210,30662754.0,1,-33.099999999993,141.29999999998176,2024-12-08,210,0.6432601,1,79
211,20851002.0,1,19.700000000003996,9.29999999998924,2024-08-11,211,0.54780984,1,721
212,18314760.0,1,-21.299999999993673,-46.400000000007594,2024-08-12,212,0.9135914,1,931
213,10033726.0,1,62.40000000000157,80.8999999999852,2024-05-05,213,0.7765011,1,113
214,19706958.0,1,-20.399999999993724,123.29999999998279,2024-05-09,214,0.03281396,1,258
215,5208640.0,1,62.20000000000158,86.59999999998485,2024-02-22,215,0.97286695,1,85
216,8158083.5,1,10.500000000004519,119.19999999998299,2024-06-20,216,0.9546121,1,6
217,17272788.0,1,-27.899999999993298,27.5999999999882,2024-08-05,217,0.20486373,1,1522
218,7070885.5,1,-33.69999999999297,-58.6000000000069,2024-06-08,218,0.955783,1,3
219,17562338.0,1,-20.899999999993696,140.4999999999818,2024-07-16,219,0.0050676246,1,275
220,18354706.0,1,-34.19999999999294,143.49999999998158,2024-09-03,220,0.0334665,1,66
221,17336330.0,1,16.900000000004155,100.29999999998404,2024-11-19,221,0.15612751,1,47
222,25391918.0,1,67.90000000000126,-137.9000000000024,2024-07-21,222,0.25067925,1,560
223,18853912.0,1,16.600000000004172,104.89999999998383,2024-07-02,223,0.94311064,1,173
224,25480618.0,1,9.400000000004582,22.399999999988495,2024-05-02,224,0.54099596,1,520
225,7608462.0,1,-42.199999999992485,-74.00000000000603,2024-09-11,225,0.9706362,1,317
226,19841664.0,1,11.400000000004468,17.599999999988768,2024-10-20,226,0.6028907,1,356
227,5794381.0,1,64.10000000000147,125.19999999998265,2024-10-06,227,0.667731,1,128
228,29797656.0,1,-19.59999999999377,28.399999999988154,2024-11-20,228,0.05483795,1,1186
229,26342026.0,1,25.80000000000365,64.39999999998611,2024-04-07,229,0.03360992,1,513
230,28824554.0,1,50.10000000000227,-124.50000000000315,2024-07-16,230,0.04244127,1,333
231,18938464.0,1,50.80000000000223,100.0999999999841,2024-08-27,231,0.41072166,1,2261
232,16240601.0,1,41.900000000002734,-72.7000000000061,2024-05-23,232,0.72453004,1,54
233,15932471.0,1,66.40000000000134,76.09999999998547,2024-04-06,233,0.44451576,1,60
234,21308246.0,1,59.500000000001734,98.69999999998413,2024-07-19,234,0.9433249,1,433
235,17942458.0,1,52.70000000000212,-63.9000000000066,2024-05-03,235,0.8711073,1,587
236,28594198.0,1,28.700000000003485,-9.500000000009692,2024-07-05,236,0.17595999,1,531
